date,cluster,lake,observed,reconstructed,cluster_new
2005-12-01,6,1,nan,4.44E-01,1
2006-01-01,6,1,nan,7.14E-01,1
2006-02-01,6,1,-0.19806407,8.23E-01,1
2006-03-01,6,1,-0.19806407,7.40E-01,1
2006-04-01,6,1,-0.19806407,4.58E-01,1
2006-05-01,6,1,-0.48431727,1.08E-02,1
2006-06-01,6,1,-0.48431727,-4.89E-01,1
2006-07-01,6,1,-0.48431727,-8.53E-01,1
2006-08-01,6,1,-0.48431727,-9.45E-01,1
2006-09-01,6,1,-0.48431727,-7.43E-01,1
2006-10-01,6,1,-0.48431727,-3.45E-01,1
2006-11-01,6,1,-0.19806407,1.00E-01,1
2006-12-01,6,1,nan,4.95E-01,1
2007-01-01,6,1,nan,7.82E-01,1
2007-02-01,6,1,-0.11999502,9.09E-01,1
2007-03-01,6,1,2.3782146,8.41E-01,1
2007-04-01,6,1,-0.32817918,5.72E-01,1
2007-05-01,6,1,-0.48431727,1.35E-01,1
2007-06-01,6,1,-0.48431727,-3.56E-01,1
2007-07-01,6,1,-0.48431727,-7.10E-01,1
2007-08-01,6,1,-0.48431727,-7.84E-01,1
2007-09-01,6,1,-0.48431727,-5.62E-01,1
2007-10-01,6,1,-0.48431727,-1.52E-01,1
2007-11-01,6,1,-0.45829427,2.99E-01,1
2007-12-01,6,1,nan,7.02E-01,1
2008-01-01,6,1,nan,9.97E-01,1
2008-02-01,6,1,2.820606,1.13E+00,1
2008-03-01,6,1,2.820606,1.07E+00,1
2008-04-01,6,1,2.820606,8.00E-01,1
2008-05-01,6,1,-0.43227124,3.63E-01,1
2008-06-01,6,1,-0.45829427,-1.36E-01,1
2008-07-01,6,1,-0.48431727,-5.06E-01,1
2008-08-01,6,1,-0.48431727,-5.94E-01,1
2008-09-01,6,1,-0.48431727,-3.82E-01,1
2008-10-01,6,1,-0.48431727,1.52E-02,1
2008-11-01,6,1,-0.32817918,4.50E-01,1
2008-12-01,6,1,nan,8.39E-01,1
2009-01-01,6,1,nan,1.12E+00,1
2009-02-01,6,1,2.4562838,1.25E+00,1
2009-03-01,6,1,2.4562838,1.18E+00,1
2009-04-01,6,1,-0.3802252,9.07E-01,1
2009-05-01,6,1,-0.3802252,4.64E-01,1
2009-06-01,6,1,-0.45829427,-4.57E-02,1
2009-07-01,6,1,-0.48431727,-4.36E-01,1
2009-08-01,6,1,-0.48431727,-5.49E-01,1
2009-09-01,6,1,-0.48431727,-3.64E-01,1
2009-10-01,6,1,-0.48431727,8.68E-03,1
2009-11-01,6,1,-0.19806407,4.18E-01,1
2009-12-01,6,1,nan,7.81E-01,1
2010-01-01,6,1,nan,1.05E+00,1
2010-02-01,6,1,2.820606,1.17E+00,1
2010-03-01,6,1,2.820606,1.10E+00,1
2010-04-01,6,1,-0.32817918,8.46E-01,1
2010-05-01,6,1,-0.32817918,4.23E-01,1
2010-06-01,6,1,-0.48431727,-6.63E-02,1
2010-07-01,6,1,-0.48431727,-4.50E-01,1
2010-08-01,6,1,-0.48431727,-5.75E-01,1
2010-09-01,6,1,-0.48431727,-4.07E-01,1
2010-10-01,6,1,-0.45829427,-4.50E-02,1
2010-11-01,6,1,-0.45829427,3.57E-01,1
2010-12-01,6,1,nan,7.05E-01,1
2011-01-01,6,1,nan,9.59E-01,1
2011-02-01,6,1,2.794583,1.08E+00,1
2011-03-01,6,1,nan,1.04E+00,1
2011-04-01,6,1,-0.25011012,8.19E-01,1
2011-05-01,6,1,1.8577543,4.42E-01,1
2011-06-01,6,1,-0.25011012,-1.76E-02,1
2011-07-01,6,1,-0.48431727,-4.11E-01,1
2011-08-01,6,1,-0.45829427,-5.81E-01,1
2011-09-01,6,1,-0.45829427,-4.64E-01,1
2011-10-01,6,1,-0.3802252,-1.41E-01,1
2011-11-01,6,1,-0.3802252,2.25E-01,1
2011-12-01,6,1,nan,5.20E-01,1
2012-01-01,6,1,nan,6.88E-01,1
2012-02-01,6,1,0.4785344,7.02E-01,1
2012-03-01,6,1,0.06216611,5.50E-01,1
2012-04-01,6,1,-0.32817918,2.36E-01,1
2012-05-01,6,1,-0.45829427,-2.01E-01,1
2012-06-01,6,1,-0.48431727,-6.56E-01,1
2012-07-01,6,1,-0.48431727,-9.67E-01,1
2012-08-01,6,1,-0.48431727,-1.01E+00,1
2012-09-01,6,1,-0.48431727,-7.98E-01,1
2012-10-01,6,1,-0.48431727,-4.12E-01,1
2012-11-01,6,1,-0.48431727,2.09E-02,1
2012-12-01,6,1,nan,4.04E-01,1
2013-01-01,6,1,nan,6.71E-01,1
2013-02-01,6,1,0.4785344,7.87E-01,1
2013-03-01,6,1,0.53058046,7.45E-01,1
2013-04-01,6,1,-0.11999502,5.49E-01,1
2013-05-01,6,1,-0.14601804,2.26E-01,1
2013-06-01,6,1,-0.48431727,-1.58E-01,1
2013-07-01,6,1,-0.48431727,-4.72E-01,1
2013-08-01,6,1,-0.40624824,-5.85E-01,1
2013-09-01,6,1,-0.3802252,-4.66E-01,1
2013-10-01,6,1,-0.3802252,-1.80E-01,1
2013-11-01,6,1,-0.3802252,1.70E-01,1
2013-12-01,6,1,nan,4.95E-01,1
2014-01-01,6,1,nan,7.30E-01,1
2014-02-01,6,1,1.9878694,8.33E-01,1
2014-03-01,6,1,1.8317313,7.83E-01,1
2014-04-01,6,1,1.8837774,5.79E-01,1
2014-05-01,6,1,-0.19806407,2.42E-01,1
2014-06-01,6,1,-0.19806407,-1.57E-01,1
2014-07-01,6,1,-0.48431727,-4.77E-01,1
2014-08-01,6,1,-0.48431727,-5.91E-01,1
2014-09-01,6,1,-0.32817918,-4.82E-01,1
2014-10-01,6,1,-0.19806407,-2.29E-01,1
2014-11-01,6,1,-0.19806407,7.32E-02,1
2014-12-01,6,1,nan,3.49E-01,1
2015-01-01,6,1,nan,5.44E-01,1
2015-02-01,6,1,-0.11999502,6.24E-01,1
2015-03-01,6,1,nan,5.73E-01,1
2015-04-01,6,1,-0.11999502,3.88E-01,1
2015-05-01,6,1,-0.11999502,9.61E-02,1
2015-06-01,6,1,-0.32817918,-2.32E-01,1
2015-07-01,6,1,-0.32817918,-4.89E-01,1
2015-08-01,6,1,-0.32817918,-5.87E-01,1
2015-09-01,6,1,-0.32817918,-5.21E-01,1
2015-10-01,6,1,-0.22408709,-3.50E-01,1
2015-11-01,6,1,nan,-1.44E-01,1
2015-12-01,6,1,nan,3.57E-02,1
1984-01-01,1,1,nan,0.88392246,2
1984-02-01,1,1,nan,1.2510698,2
1984-03-01,1,1,nan,1.2367728,2
1984-04-01,1,1,nan,0.8826282,2
1984-05-01,1,1,nan,0.3282821,2
1984-06-01,1,1,nan,-0.19723445,2
1984-07-01,1,1,0.1604359,-0.5528172,2
1984-08-01,1,1,-1.0755966,-0.58015937,2
1984-09-01,1,1,0.68087065,-0.26716137,2
1984-10-01,1,1,-1.0105423,0.27568346,2
1984-11-01,1,1,nan,0.9305642,2
1984-12-01,1,1,nan,1.5438322,2
1985-01-01,1,1,nan,1.9526767,2
1985-02-01,1,1,nan,2.0141313,2
1985-03-01,1,1,nan,1.7216423,2
1985-04-01,1,1,1.2663597,1.1999986,2
1985-05-01,1,1,-0.35999885,0.56368566,2
1985-06-01,1,1,0.1604359,-0.05733837,2
1985-07-01,1,1,-0.8479064,-0.4549541,2
1985-08-01,1,1,-0.22989015,-0.41451108,2
1985-09-01,1,1,0.68087065,0.07349691,2
1985-10-01,1,1,1.0386695,0.8107557,2
1985-11-01,1,1,nan,1.514904,2
1985-12-01,1,1,nan,2.0130143,2
1986-01-01,1,1,nan,2.2304795,2
1986-02-01,1,1,nan,2.1336765,2
1986-03-01,1,1,nan,1.7821176,2
1986-04-01,1,1,0.941088,1.2655631,2
1986-05-01,1,1,0.74592495,0.6442317,2
1986-06-01,1,1,0.38812608,0.00845046,2
1986-07-01,1,1,-1.0755966,-0.42043218,2
1986-08-01,1,1,-0.392526,-0.4076197,2
1986-09-01,1,1,-0.7503249,0.03927531,2
1986-10-01,1,1,1.6892129,0.72542566,2
1986-11-01,1,1,nan,1.3892385,2
1986-12-01,1,1,nan,1.8823631,2
1987-01-01,1,1,nan,2.140341,2
1987-02-01,1,1,nan,2.0946548,2
1987-03-01,1,1,1.6892129,1.7703923,2
1987-04-01,1,1,1.136251,1.2490094,2
1987-05-01,1,1,0.87603366,0.5899818,2
1987-06-01,1,1,-0.81537926,-0.11290099,2
1987-07-01,1,1,-0.6527434,-0.5846998,2
1987-08-01,1,1,-0.49010754,-0.6064204,2
1987-09-01,1,1,-0.09978148,-0.19615002,2
1987-10-01,1,1,nan,0.47060972,2
1987-11-01,1,1,nan,1.1342149,2
1987-12-01,1,1,nan,1.633033,2
1988-01-01,1,1,nan,1.9286671,2
1988-02-01,1,1,nan,1.9586604,2
1988-03-01,1,1,1.6892129,1.6990222,2
1988-04-01,1,1,1.136251,1.1955097,2
1988-05-01,1,1,1.1037239,0.5070049,2
1988-06-01,1,1,-0.03472713,-0.26480368,2
1988-07-01,1,1,-0.78285205,-0.82254255,2
1988-08-01,1,1,-0.8479064,-0.90290874,2
1988-09-01,1,1,0.5832891,-0.4913096,2
1988-10-01,1,1,-0.8479064,0.23595303,2
1988-11-01,1,1,nan,0.9398804,2
1988-12-01,1,1,nan,1.466171,2
1989-01-01,1,1,nan,1.7944729,2
1989-02-01,1,1,nan,1.8688917,2
1989-03-01,1,1,nan,1.6562809,2
1989-04-01,1,1,-0.97801507,1.1944292,2
1989-05-01,1,1,-1.1081238,0.5372261,2
1989-06-01,1,1,0.5832891,-0.21333456,2
1989-07-01,1,1,-0.88043356,-0.7702713,2
1989-08-01,1,1,-0.88043356,-0.8614197,2
1989-09-01,1,1,0.7133978,-0.44983494,2
1989-10-01,1,1,1.0711967,0.2684217,2
1989-11-01,1,1,nan,0.964387,2
1989-12-01,1,1,nan,1.4858408,2
1990-01-01,1,1,nan,1.8098089,2
1990-02-01,1,1,nan,1.8830476,2
1990-03-01,1,1,nan,1.6763715,2
1990-04-01,1,1,nan,1.2302921,2
1990-05-01,1,1,0.74592495,0.5965934,2
1990-06-01,1,1,0.68087065,-0.12570027,2
1990-07-01,1,1,-0.8479064,-0.6613768,2
1990-08-01,1,1,0.03032721,-0.74854004,2
1990-09-01,1,1,nan,-0.3497432,2
1990-10-01,1,1,-1.0430695,0.3372922,2
1990-11-01,1,1,nan,1.0051893,2
1990-12-01,1,1,nan,1.5037917,2
1991-01-01,1,1,nan,1.8109915,2
1991-02-01,1,1,nan,1.8720336,2
1991-03-01,1,1,1.5916314,1.6541935,2
1991-04-01,1,1,1.5591042,1.1936138,2
1991-05-01,1,1,1.6241586,0.53661,2
1991-06-01,1,1,0.2580174,-0.21266766,2
1991-07-01,1,1,-0.88043356,-0.7622201,2
1991-08-01,1,1,-1.0430695,-0.83548886,2
1991-09-01,1,1,-0.88043356,-0.39073965,2
1991-10-01,1,1,-0.97801507,0.3402347,2
1991-11-01,1,1,nan,1.030518,2
1991-12-01,1,1,nan,1.5347533,2
1992-01-01,1,1,nan,1.8386667,2
1992-02-01,1,1,nan,1.8948458,2
1992-03-01,1,1,nan,1.6713984,2
1992-04-01,1,1,nan,1.1909465,2
1992-05-01,1,1,nan,0.49024513,2
1992-06-01,1,1,nan,-0.30940923,2
1992-07-01,1,1,nan,-0.8783465,2
1992-08-01,1,1,nan,-0.9010979,2
1992-09-01,1,1,nan,-0.34337974,2
1992-10-01,1,1,nan,0.46825323,2
1992-11-01,1,1,nan,1.1892617,2
1992-12-01,1,1,nan,1.6963217,2
1993-01-01,1,1,nan,1.9834646,2
1993-02-01,1,1,nan,2.0213056,2
1993-03-01,1,1,nan,1.8023338,2
1993-04-01,1,1,nan,1.3484058,2
1993-05-01,1,1,1.2013054,0.6877789,2
1993-06-01,1,1,1.331414,-0.06176316,2
1993-07-01,1,1,-1.1081238,-0.5843145,2
1993-08-01,1,1,-1.0430695,-0.6030991,2
1993-09-01,1,1,-1.0430695,-0.10666704,2
1993-10-01,1,1,1.6892129,0.6400581,2
1993-11-01,1,1,nan,1.3265795,2
1993-12-01,1,1,nan,1.8239838,2
1994-01-01,1,1,nan,2.0999234,2
1994-02-01,1,1,nan,2.1159818,2
1994-03-01,1,1,nan,1.879771,2
1994-04-01,1,1,nan,1.4225175,2
1994-05-01,1,1,1.5591042,0.7586597,2
1994-06-01,1,1,-0.88043356,-0.01443677,2
1994-07-01,1,1,-1.0430695,-0.575891,2
1994-08-01,1,1,0.38812608,-0.6227169,2
1994-09-01,1,1,0.4857076,-0.13168073,2
1994-10-01,1,1,1.2663597,0.62457293,2
1994-11-01,1,1,nan,1.3289496,2
1994-12-01,1,1,nan,1.8480526,2
1995-01-01,1,1,nan,2.1401489,2
1995-02-01,1,1,nan,2.1600373,2
1995-03-01,1,1,1.2988869,1.9216611,2
1995-04-01,1,1,1.5591042,1.4635198,2
1995-05-01,1,1,1.6241586,0.79313165,2
1995-06-01,1,1,0.55076194,-0.00820307,2
1995-07-01,1,1,-1.0430695,-0.60531694,2
1995-08-01,1,1,-1.0430695,-0.6714549,2
1995-09-01,1,1,0.03032721,-0.1728154,2
1995-10-01,1,1,1.4289956,0.5987209,2
1995-11-01,1,1,nan,1.3122072,2
1995-12-01,1,1,nan,1.8368667,2
1996-01-01,1,1,nan,2.1335962,2
1996-02-01,1,1,nan,2.1560812,2
1996-03-01,1,1,nan,1.9186546,2
1996-04-01,1,1,nan,1.458278,2
1996-05-01,1,1,nan,0.777623,2
1996-06-01,1,1,nan,-0.04310912,2
1996-07-01,1,1,nan,-0.64926773,2
1996-08-01,1,1,-0.7503249,-0.7039588,2
1996-09-01,1,1,nan,-0.18892218,2
1996-10-01,1,1,nan,0.58257306,2
1996-11-01,1,1,nan,1.2815943,2
1996-12-01,1,1,nan,1.7912682,2
1997-01-01,1,1,nan,2.077552,2
1997-02-01,1,1,nan,2.0928712,2
1997-03-01,1,1,nan,1.8505962,2
1997-04-01,1,1,nan,1.3857687,2
1997-05-01,1,1,nan,0.7025833,2
1997-06-01,1,1,0.68087065,-0.1057151,2
1997-07-01,1,1,-0.81537926,-0.6787798,2
1997-08-01,1,1,nan,-0.6989901,2
1997-09-01,1,1,0.5182348,-0.18155837,2
1997-10-01,1,1,0.64834344,0.5617599,2
